Cluster number,Household number,Line number,Cluster number,Household number,Man's line number,Interviewer number,Day of interview,Month of interview,Year of interview,Result of man's interview,Field editor,Data entry clerk,Start of interview - Hour,Start of interview - Minutes,End of interview - Hour,End of interview - Minutes,Month of birth of man,Year of birth of man,Age of man,Ever attended school,Highest level of school attended,Highest grade completed at that level,Can read part of the sentence,Frequency of reading newspaper or magazine,Frequency of listening to the radio,Frequency of watching TV,Ever used a computer,Computer usage in the last 12 months,Frequency of computer usage in the last month,Ever used internet,Internet usage in the last 12 months,Frequency of Internet usage in the past month,Ever used a mobile or non-mobile phone,Mobile or non-mobile phone usage in the last 12 months,Frequency of mobile or non-mobile usage in the past month,Ever fathered any children with any women,Age when first child was born,Any sons or daughters living with you,Sons living with you,Daughters living with you,Any sons or daughters not living with you,Sons living elsewhere,Daughters living elsewhere,Ever had child who later died,Boys dead,Girls dead,Children ever born,Same biological mother,Number of women respondent fathered children with,Month of last birth,Year of last birth,If she goes out with out telling husband: wife beating justified,If she neglects the children: wife beating justified,If she argues with husband: wife beating justified,If she refuses sex with husband: wife beating justified,If she burns the food: wife beating justified,MDV1F,Currently married or living with a man,Haveing other wives or liveing with other women as if you are married,How many other wives / partners living with you,Ever married or lived with a woman,Marital status,Married or lived with a woman once or more than once,Month of first union,Year of first union,Age at first union,Age at first sexual intercourse,Condom used during first sexual intercourse,Time since last sexual intercourse (unit),Time since last sexual intercourse (number),Condom used at last sexual intercourse,Relationship to last sexual partner,Sex with any other person in the last 12 month,Condom used with prior sexual partner,Relationship to prior sexual partner,Sex with any other man in the last 12 months,Number of sex partners in last 12 months,Number of sex partners in lifetime,Ever heard of AIDS,Can avoid AIDS virus by having one uninfected partner,Can get AIDS virus through supernatural means,Can avoid AIDS virus by using a condom correctly every time,Can get AIDS virus from mosquito bites,Can get AIDS virus by sharing food with a person who has AIDS,Healthy-looking person may have AIDS virus,AIDS virus from mother to child during pregnancy,AIDS virus from mother to child during delivery,AIDS virus from mother to child through breastfeeding,Should female teacher with AIDS virus be allowed to teach in school,Would buy fresh vegetables from shopkeeper with AIDS virus,"If HH member became infected with AIDS virus, would want it to remain a secret",Willing to care for person with AIDS in household,Ever been tested for AIDS virus,Most recent time of testing for AIDS virus,Received results of AIDS virus test,Know a place to get AIDS virus test,Respondent is circumcised,Age at circumcision,Person performing circumcision,Place of circumcision,Ever tried cigarette smoking,Age when cigarette was smoked for the first time,Currently smoking cigarettes,Number of cigarettes smoked in the last 24 hours,Number of days when cigarettes were smoked in past month,Ever tried any smoked tobacco products other than cigarettes,Used any smoked tobacco products during the last month,Type of smoked tobacco product: Cigars,Type of smoked tobacco product: Water pipe,Type of smoked tobacco product: Cigarillos,Type of smoked tobacco product: Pipe,MTA8E,Type of smoked tobacco product: Other,Number of days when tobacco products where smoked in past month,Ever tried any form of smokeless tobacco products,Used any smokeless tobacco products during the last month,Type of smokeless tobacco product used: Snuff,Type of smokeless tobacco product used: Dip,Number of days when smokeless tobacco products where used in past month,Ever drunk alcohol,Age when alcohol was used for the first time,Number of days when at least one drink of alcohol was used in past month,Number of drinks usually consumed,Net number,Mosquito net observed,Brand/type of observed net,Months ago net obtained,Net treated with an insecticide when obtained,Net soaked or dipped since obtained,Months ago net soaked or dipped,Persons slept under mosquito net last night,Person 1 who slept under net,Person 2 who slept under net,Person 3 who slept under net,Person 4 who slept under net,Area,Region,Date of interview women (CMC),Date of birth of woman (CMC),Age,Date of marriage (CMC),Age at first marriage/union,Marital/Union status,Children ever born,Children surviving,Children dead,mwelevel,mnweight,Wealth index score,Wealth index quintiles,wscoreu,windex5u,wscorer,windex5r
2,14,2,2,14,2,12,13,4,2014,Completed,1,40,8.0,18.0,8.0,31.0,1.0,1978.0,36.0,Yes,Secondary,24.0,,Almost every day,At least once a week,Almost every day,Yes,Yes,Almost every day,Yes,Yes,Almost every day,Yes,Yes,Almost every day,Yes,28.0,Yes,1.0,0.0,Yes,1.0,0.0,No,,,2.0,No,2.0,12.0,2012.0,No,No,No,No,No,No,"No, not in union",,,"Yes, formerly married",Separated,More than once,98.0,2006.0,,18.0,Yes,Weeks ago,2.0,Yes,Girlfriend,No,,,,,12.0,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Less than 12 months ago,Yes,,No,,,,Yes,21.0,Yes,10.0,30.0,No,,,,,,,,,No,,,,,Yes,21.0,10.0,5.0,,,,,,,,,,,,,Urban,Bulawayo,1372,937.0,35-39,1279.0,28.0,Formerly married/in union,2.0,2.0,0.0,Secondary,1.03192602919895,1.53554905874275,5,1.06554218253968,5.0,,
2,14,3,2,14,3,12,15,4,2014,Completed,1,40,9.0,13.0,9.0,21.0,6.0,1989.0,24.0,Yes,Higher,0.0,,Almost every day,At least once a week,Almost every day,Yes,Yes,Almost every day,Yes,Yes,Almost every day,Yes,Yes,Almost every day,DK,,,,,,,,No,,,0.0,,,,,No,No,No,No,No,No,"No, not in union",,,No,,,,,,22.0,Yes,Months ago,1.0,Yes,Girlfriend,No,,,,,3.0,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Less than 12 months ago,Yes,,No,,,,Yes,0.0,,,,No,,,,,,,,,No,,,,,Yes,24.0,4.0,6.0,,,,,,,,,,,,,Urban,Bulawayo,1372,1074.0,20-24,,,Never married/in union,0.0,0.0,0.0,Higher,1.03192602919895,1.53554905874275,5,1.06554218253968,5.0,,
2,14,5,2,14,5,12,7,4,2014,Completed,1,40,13.0,32.0,13.0,41.0,1.0,1995.0,19.0,Yes,Secondary,24.0,,Less than once a week,At least once a week,Almost every day,Yes,Yes,Almost every day,Yes,Yes,Almost every day,Yes,Yes,Almost every day,No,,,,,,,,No,,,0.0,,,,,No,No,No,No,No,No,"No, not in union",,,No,,,,,,18.0,Yes,Months ago,2.0,Yes,Girlfriend,No,,,,,1.0,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Less than 12 months ago,Yes,,No,,,,No,,,,,No,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,Urban,Bulawayo,1372,1141.0,15-19,,,Never married/in union,0.0,0.0,0.0,Secondary,1.03192602919895,1.53554905874275,5,1.06554218253968,5.0,,
2,17,1,2,17,1,10,13,4,2014,Completed,1,40,12.0,24.0,12.0,37.0,8.0,1976.0,37.0,Yes,Secondary,24.0,,At least once a week,Almost every day,At least once a week,No,,,No,,,Yes,Yes,Almost every day,Yes,25.0,Yes,1.0,1.0,Yes,2.0,0.0,No,,,4.0,No,2.0,2.0,2010.0,No,No,No,No,No,Yes,"Yes, currently married",No (Only one),,,,More than once,11.0,1999.0,,24.0,No,Days ago,3.0,No,Wife,No,,,,,15.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Less than 12 months ago,Yes,,No,,,,Yes,34.0,Yes,4.0,30.0,Yes,No,,,,,,,,No,,,,,Yes,25.0,0.0,,,,,,,,,,,,,,Urban,Bulawayo,1372,920.0,35-39,1199.0,23.0,Currently married/in union,4.0,4.0,0.0,Secondary,1.03192602919895,0.961362751625098,4,-0.679324101969404,2.0,,
2,19,1,2,19,1,10,13,4,2014,Completed,1,40,8.0,30.0,8.0,41.0,9.0,1961.0,52.0,Yes,Secondary,24.0,,Almost every day,Almost every day,Less than once a week,No,,,No,,,Yes,Yes,Almost every day,Yes,30.0,Yes,1.0,2.0,No,,,No,,,3.0,Yes,,5.0,2001.0,No,No,No,No,No,No,"Yes, currently married",No (Only one),,,,Only once,2.0,1990.0,,19.0,No,Days ago,4.0,Yes,Wife,No,,,,,2.0,Yes,Yes,DK,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Less than 12 months ago,Yes,,No,,,,Yes,22.0,Yes,12.0,30.0,No,,,,,,,,,No,,,,,Yes,19.0,30.0,4.0,,,,,,,,,,,,,Urban,Bulawayo,1372,741.0,50-54,1082.0,28.0,Currently married/in union,3.0,3.0,0.0,Secondary,1.03192602919895,1.50525589611226,5,0.973485793402807,5.0,,
2,20,1,2,20,1,10,12,4,2014,Completed,1,40,15.0,14.0,15.0,38.0,11.0,1961.0,52.0,Yes,Secondary,22.0,,At least once a week,At least once a week,Almost every day,No,,,No,,,Yes,Yes,Almost every day,Yes,25.0,Yes,0.0,1.0,Yes,1.0,2.0,No,,,4.0,No,2.0,4.0,2013.0,No,No,No,No,No,No,"Yes, currently married",No (Only one),,,,More than once,5.0,1981.0,,14.0,No,Days ago,4.0,No,Wife,No,,,,,6.0,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,,,Yes,No,,,,Yes,12.0,Yes,5.0,30.0,Yes,Yes,,,,,Rolled tobacco,,10.0,No,,,,,No,,,,,,,,,,,,,,,,Urban,Bulawayo,1372,743.0,50-54,977.0,19.0,Currently married/in union,4.0,4.0,0.0,Secondary,1.03192602919895,0.837470734143721,4,-1.05581340786777,1.0,,
2,22,1,2,22,1,8,12,4,2014,Completed,1,40,11.0,51.0,12.0,5.0,10.0,1988.0,25.0,Yes,Primary,17.0,Cannot read at all,,Less than once a week,Less than once a week,No,,,No,,,Yes,Yes,Less than once a week,Yes,21.0,Yes,2.0,0.0,No,,,No,,,2.0,Yes,,4.0,2013.0,No,No,No,No,No,No,"Yes, currently married",No (Only one),,,,Only once,98.0,2010.0,,20.0,Yes,Days ago,1.0,No,Wife,No,,,,,1.0,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,,,Yes,No,,,,No,,,,,No,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,Urban,Bulawayo,1372,1066.0,25-29,1326.0,21.0,Currently married/in union,2.0,2.0,0.0,Primary,1.03192602919895,0.613222920037485,4,-1.73726896568667,1.0,,
2,25,1,2,25,1,8,7,4,2014,Completed,1,40,15.0,48.0,16.0,0.0,11.0,1971.0,42.0,Yes,Secondary,24.0,,Less than once a week,Less than once a week,Almost every day,No,,,Yes,Yes,Almost every day,Yes,Yes,Almost every day,Yes,35.0,Yes,2.0,1.0,No,,,No,,,3.0,Yes,,12.0,2013.0,No,No,No,No,No,No,"Yes, currently married",No (Only one),,,,More than once,98.0,2000.0,,20.0,No,Days ago,1.0,No,Wife,No,,,,,3.0,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Less than 12 months ago,Yes,,No,,,,Yes,0.0,,,,No,,,,,,,,,No,,,,,Yes,15.0,1.0,1.0,1.0,Observed,Permanent,24.0,,,,Yes,1.0,2.0,5.0,90.0,Urban,Bulawayo,1372,863.0,40-44,1208.0,28.0,Currently married/in union,3.0,3.0,0.0,Secondary,1.03192602919895,1.2752845648797,5,0.274637323320534,4.0,,
3,3,1,3,3,1,5,16,4,2014,Completed,2,4,18.0,2.0,18.0,15.0,4.0,1972.0,42.0,Yes,Higher,31.0,,Almost every day,Almost every day,Less than once a week,Yes,Yes,Almost every day,Yes,Yes,Almost every day,Yes,Yes,Almost every day,Yes,32.0,Yes,1.0,1.0,No,,,No,,,2.0,Yes,,1.0,2011.0,No,No,No,No,No,No,"Yes, currently married",No (Only one),,,,Only once,3.0,2002.0,,30.0,No,Days ago,1.0,No,Wife,No,,,,,1.0,Yes,Yes,No,Yes,No,No,Yes,No,Yes,DK,Yes,Yes,Yes,Yes,Yes,2 or more years ago,Yes,,No,,,,No,,,,,No,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,Urban,Bulawayo,1372,868.0,40-44,1227.0,29.0,Currently married/in union,2.0,2.0,0.0,Higher,1.34530895870472,1.38926949458259,5,0.621020471638911,4.0,,
3,4,1,3,4,1,5,11,4,2014,Completed,2,4,12.0,20.0,12.0,35.0,10.0,1981.0,32.0,Yes,Primary,17.0,Able to read whole sentence,Less than once a week,Less than once a week,Not at all,No,,,No,,,Yes,Yes,Almost every day,Yes,30.0,Yes,0.0,1.0,No,,,No,,,1.0,Yes,,7.0,2012.0,No,No,No,No,No,No,"Yes, living with a women",No (Only one),,,,More than once,98.0,2000.0,,18.0,Yes,Days ago,0.0,Yes,Cohabiting partner,Yes,Yes,Casual acquaintance,No,,3.0,Yes,Yes,No,Yes,DK,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Less than 12 months ago,Yes,,No,,,,No,,,,,No,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,Urban,Bulawayo,1372,982.0,30-34,1201.0,18.0,Currently married/in union,1.0,1.0,0.0,Primary,1.34530895870472,0.882931314047315,4,-0.917665506803731,1.0,,
